iter	RMSE
0	0.1353914872
1	0.1351611842
2	0.1349093661
3	0.1346684456
4	0.1343947887
5	0.1341613509
6	0.1339139697
7	0.1336867516
8	0.133468339
9	0.1332348588
10	0.1330221867
11	0.1328115624
12	0.132604299
13	0.1323926035
14	0.1321862922
15	0.1319653435
16	0.1317440073
17	0.1314976506
18	0.1312832124
19	0.1310552153
20	0.1308527761
21	0.130632028
22	0.1304290734
23	0.1302582917
24	0.1300690987
25	0.1298829754
26	0.1296668715
27	0.129476855
28	0.1292857717
29	0.1290894004
30	0.1289405812
31	0.1287328471
32	0.1284610572
33	0.1282317562
34	0.1280048758
35	0.1278097432
36	0.127653456
37	0.1274715741
38	0.1273176339
39	0.127121421
40	0.1269162443
41	0.1267316569
42	0.126561842
43	0.1264230249
44	0.1262383126
45	0.1260740728
46	0.1258962159
47	0.125681945
48	0.1255369487
49	0.1253427608
50	0.1251829786
51	0.1250329616
52	0.1248442871
53	0.124700966
54	0.1245363965
55	0.1243787701
56	0.1241971497
57	0.1240179531
58	0.1238534098
59	0.1236976818
60	0.1235290113
61	0.1233498082
62	0.1231834353
63	0.1229749152
64	0.1228101914
65	0.1226578207
66	0.1225101321
67	0.1223368376
68	0.1222062747
69	0.1220415423
70	0.1219119564
71	0.1217603293
72	0.1215430448
73	0.1213871434
74	0.1212648536
75	0.1211090985
76	0.1209918942
77	0.1208825267
78	0.1207445679
79	0.1206103636
80	0.1204601962
81	0.120352197
82	0.1202255665
83	0.1200949483
84	0.1199796082
85	0.1198701769
86	0.1197360013
87	0.1195810605
88	0.1194656819
89	0.1193186452
90	0.1191669099
91	0.1190255984
92	0.1189048038
93	0.1187732959
94	0.1186242334
95	0.1184603604
96	0.1183327292
97	0.1182041593
98	0.1180720966
99	0.1179584114
100	0.1178180109
101	0.1177193359
102	0.11759015
103	0.1174768206
104	0.1173750853
105	0.1172418009
106	0.1170943652
107	0.1169994861
108	0.1169084471
109	0.1168039334
110	0.1167132684
111	0.1165940839
112	0.1164457103
113	0.1163292121
114	0.1161988486
115	0.1160811348
116	0.1159680163
117	0.1158918503
118	0.1157619533
119	0.1156447844
120	0.1155346482
121	0.1154365537
122	0.1153436225
123	0.1152004448
124	0.1150846782
125	0.1149872823
126	0.1148584351
127	0.1147599167
128	0.1146635643
129	0.1145551423
130	0.1144520087
131	0.1143310905
132	0.1142193773
133	0.1140836113
134	0.1139436882
135	0.1138255548
136	0.1137198156
137	0.1136375852
138	0.1135411667
139	0.1134434307
140	0.1133569501
141	0.1132482171
142	0.1131211444
143	0.1130161472
144	0.1129011535
145	0.112807565
146	0.1126635201
147	0.1125586698
148	0.1124737033
149	0.1123387078
150	0.1122150622
151	0.112097185
152	0.1120089034
153	0.1119063853
154	0.1118019583
155	0.1116577156
156	0.1115779815
157	0.1114866957
158	0.1114189237
159	0.1113398557
160	0.1112620257
161	0.1111903294
162	0.1110927574
163	0.1110091424
164	0.1109364058
165	0.1108454228
166	0.110763955
167	0.1106403223
168	0.1104966064
169	0.1104377964
170	0.1103393465
171	0.1102374108
172	0.1101325252
173	0.1100567185
174	0.1099433976
175	0.1098558371
176	0.1097786629
177	0.1097033763
178	0.1096156193
179	0.1095640836
180	0.1094973138
181	0.1094268617
182	0.1093479425
183	0.1093059067
184	0.1092213192
185	0.1091221001
186	0.1090149511
187	0.1089206191
188	0.1088208855
189	0.1086835486
190	0.1085958881
191	0.1085304417
192	0.1084112743
193	0.1083170536
194	0.1082408206
195	0.1081300906
196	0.1080335372
197	0.1079612674
198	0.1078990198
199	0.1077789678
200	0.1077202236
201	0.1076267213
202	0.1075310072
203	0.1074510147
204	0.1073815872
205	0.1072793943
206	0.1072080227
207	0.1071242198
208	0.1070292658
209	0.1069093613
210	0.1068352522
211	0.1067887848
212	0.1067277992
213	0.1066490223
214	0.1065575863
215	0.1064741
216	0.1063997409
217	0.1063505307
218	0.1062773938
219	0.106185119
220	0.106126165
221	0.1060776838
222	0.1059957731
223	0.1058817313
224	0.1058174136
225	0.1057360173
226	0.1056853845
227	0.1056151608
228	0.1055186969
229	0.105445511
230	0.1053829937
231	0.1052858697
232	0.1052454802
233	0.1051802051
234	0.105103654
235	0.1050151698
236	0.1049449868
237	0.104916798
238	0.104859861
239	0.104763747
240	0.1046888737
241	0.1046068046
242	0.1045222039
243	0.10441976
244	0.1043799513
245	0.1043260481
246	0.1042594137
247	0.1041944813
248	0.1041231301
249	0.104041332
250	0.1039724848
251	0.1038885154
252	0.1038328887
253	0.1037407876
254	0.1036789243
255	0.1036293524
256	0.1035439849
257	0.1034873091
258	0.1034148007
259	0.1033736105
260	0.1033351246
261	0.1032723883
262	0.1032374881
263	0.1032047221
264	0.1031285531
265	0.1030666981
266	0.1030086339
267	0.1029283594
268	0.1028680819
269	0.1028161215
270	0.1027468809
271	0.1026657899
272	0.1025980225
273	0.1025438055
274	0.1024821336
275	0.102424083
276	0.1023371719
277	0.1022675713
278	0.1021816751
279	0.1020819229
280	0.102047149
281	0.101989431
282	0.1019212971
283	0.101838207
284	0.1017519098
285	0.1016879854
286	0.1016305431
287	0.1015410474
288	0.1014930184
289	0.1014281765
290	0.1013780457
291	0.1013313523
292	0.1012879375
293	0.1012026427
294	0.1011200242
295	0.1010597291
296	0.1010249541
297	0.1009625651
298	0.1008878189
299	0.1008042769
300	0.1007512724
301	0.1006939364
302	0.1006019806
303	0.1005446855
304	0.1004859884
305	0.1004184612
306	0.1003575649
307	0.1002762867
308	0.1002237448
309	0.100158564
310	0.1000849396
311	0.09999341712
312	0.09991830101
313	0.09986788623
314	0.09980504925
315	0.0997783895
316	0.09971741979
317	0.09964379848
318	0.09958137372
319	0.09951787234
320	0.09945565041
321	0.09941057669
322	0.09936507736
323	0.09930802245
324	0.09926057738
325	0.09920718007
326	0.09913309709
327	0.09904272044
328	0.09896125311
329	0.09889550047
330	0.09883033802
331	0.09877566385
332	0.09871905631
333	0.09864996219
334	0.09860016308
335	0.09854078245
336	0.09851106197
337	0.09844921324
338	0.09839283312
339	0.09834740098
340	0.09829781843
341	0.09825247134
342	0.09816002609
343	0.0981111803
344	0.0980561636
345	0.09802859817
346	0.0979844569
347	0.09793628651
348	0.09788409913
349	0.09778761615
350	0.09774941129
351	0.09770254025
352	0.09767363475
353	0.09762081187
354	0.09751400421
355	0.09746174404
356	0.09740975357
357	0.09735559881
358	0.09732553566
359	0.09728029348
360	0.09723316898
361	0.09718507676
362	0.09716168959
363	0.09709398807
364	0.09706433865
365	0.09701930005
366	0.09695035886
367	0.09690990405
368	0.09684712803
369	0.09682139633
370	0.0967854322
371	0.09676007035
372	0.09669502869
373	0.09665205055
374	0.09661348489
375	0.09659132663
376	0.0965538391
377	0.09648137572
378	0.09644308484
379	0.09640818048
380	0.0963595994
381	0.09629086781
382	0.09625250573
383	0.0962125647
384	0.09615522063
385	0.09610767563
386	0.09605392839
387	0.09599146939
388	0.09596010238
389	0.09589389528
390	0.09583773373
391	0.09577103211
392	0.09575073962
393	0.09567145517
394	0.09558907562
395	0.09555735705
396	0.09550395903
397	0.09547818051
398	0.09539502331
399	0.09535504537
400	0.09531666909
401	0.09528239251
402	0.09524439413
403	0.09521788794
404	0.09518866037
405	0.09516368805
406	0.0951160656
407	0.09507351554
408	0.09503455221
409	0.0949755851
410	0.09490877739
411	0.09485365229
412	0.09482528043
413	0.09477771376
414	0.0947332198
415	0.0946918069
416	0.09465581176
417	0.0946277823
418	0.09456421273
419	0.09453451991
420	0.09448315729
421	0.09444751073
422	0.09441663976
423	0.0943364128
424	0.09429195077
425	0.09426643798
426	0.0942231479
427	0.0942034049
428	0.09415144749
429	0.09413288957
430	0.09404887369
431	0.09400675493
432	0.09397436807
433	0.09394064909
434	0.0938772196
435	0.09382231422
436	0.09378712273
437	0.09373940376
438	0.09367980166
439	0.09365020962
440	0.09358651843
441	0.09354860944
442	0.09352838585
443	0.09351153039
444	0.09345077881
445	0.09340956088
446	0.09339105448
447	0.09332022937
448	0.09329354047
449	0.09327522327
450	0.09324022455
451	0.09322197598
452	0.09319843881
453	0.09316238607
454	0.09313142129
455	0.09309942629
456	0.09304669165
457	0.09298572674
458	0.09294691555
459	0.0929117646
460	0.09287397611
461	0.09282716999
462	0.09280479901
463	0.09277617468
464	0.09273729092
465	0.09270651664
466	0.09267179042
467	0.0926063001
468	0.09259034665
469	0.09255908604
470	0.09253398443
471	0.09250041129
472	0.09245122591
473	0.09238877745
474	0.09233851638
475	0.09232010752
476	0.09229869448
477	0.09226670125
478	0.09222074305
479	0.09220403279
480	0.09216311848
481	0.0921103868
482	0.09207361159
483	0.09203326966
484	0.09201442364
485	0.09194930599
486	0.0919052646
487	0.09186980128
488	0.09184996844
489	0.09181539561
490	0.09177744529
491	0.09174006146
492	0.09171257808
493	0.0916641693
494	0.09163682817
495	0.09158010938
496	0.09153852949
497	0.09151035056
498	0.09148120648
499	0.09144439525
500	0.09140222804
501	0.09135400722
502	0.09133506135
503	0.09130226038
504	0.091259884
505	0.09123977916
506	0.09121430475
507	0.0912041977
508	0.09116903626
509	0.09111310726
510	0.09103762675
511	0.09102266893
512	0.09098081275
513	0.09094105109
514	0.09092281608
515	0.09089751248
516	0.0908683334
517	0.09083305928
518	0.0908031699
519	0.09076221886
520	0.09071158664
521	0.0906902067
522	0.0906582682
523	0.09060788049
524	0.09058114137
525	0.09055188202
526	0.09050965851
527	0.09046045273
528	0.09040849896
529	0.09035231352
530	0.09031886648
531	0.09029239503
532	0.09024228198
533	0.09020689068
534	0.09016972621
535	0.0901124245
536	0.09009769112
537	0.09006691612
538	0.09002168006
539	0.08997895477
540	0.08991781085
541	0.08988666396
