iter	RMSE
0	433.8492018
1	433.0455172
2	432.5440206
3	431.7943922
4	431.222783
5	430.5017556
6	429.9484269
7	429.4183494
8	428.9796597
9	428.4198461
10	427.7740267
11	427.2111955
12	426.6062727
13	426.004985
14	425.4559292
15	424.9742083
16	424.4292723
17	423.9901812
18	423.5162022
19	423.2076876
20	422.899377
21	422.5311153
22	421.9604887
23	421.6775658
24	421.2187161
25	420.7803443
26	420.4104727
27	420.0299419
28	419.6180405
29	419.4212312
30	418.9774754
31	418.5780256
32	418.1718568
33	417.8104322
34	417.3759833
35	417.0087792
36	416.6337068
37	416.3083484
38	416.0457501
39	415.8441515
40	415.5214682
41	415.0241458
42	414.7397499
43	414.4362201
44	414.1659227
45	413.8350103
46	413.5428215
47	413.2067416
48	412.8606703
49	412.6451838
50	412.3028076
51	412.0596483
52	411.7945428
53	411.4886568
54	411.1913597
55	410.9386473
56	410.7143939
57	410.4423737
58	410.1695036
59	409.9306667
60	409.6656079
61	409.4613693
62	409.1545413
63	409.0034196
64	408.738976
65	408.5635589
66	408.3319555
67	408.1262103
68	407.8708578
69	407.4286679
70	407.2093011
71	406.9590219
72	406.7217309
73	406.4872031
74	406.2050929
75	405.957892
76	405.8397632
77	405.3605692
78	405.0533247
79	404.8861331
80	404.6730224
81	404.5011454
82	404.229777
83	403.9151238
84	403.7390853
85	403.5187192
86	403.3654594
87	402.839343
88	402.5951397
89	402.3523
90	402.1219537
91	401.9216906
92	401.7200203
93	401.5583941
94	401.3570694
95	401.1857961
96	401.065356
97	400.9304762
98	400.7690773
99	400.3225323
100	400.1556464
101	399.9489073
102	399.7951686
103	399.5385732
104	399.3589265
105	399.2407586
106	398.8281146
107	398.5555044
108	398.4359663
109	398.2091373
110	398.0136098
111	397.8513368
112	397.7095782
113	397.5551848
114	397.4112329
115	397.2726772
116	397.0540021
117	396.8121599
118	396.6008339
119	396.4211926
120	396.2514904
121	395.8950604
122	395.7876704
123	395.5084873
124	395.4240516
125	395.2357561
126	394.9631546
127	394.6461298
128	394.4102401
129	394.2510193
130	394.106809
131	393.8653029
132	393.6543318
133	393.5490278
134	393.4046796
135	393.2234418
136	393.0464976
137	392.8728581
138	392.7611802
139	392.6126405
140	392.5070079
141	392.1729247
142	391.8663391
143	391.7839616
144	391.6478286
145	391.4996941
146	391.3607363
147	391.1477056
148	391.0215723
149	390.7208303
150	390.5711179
151	390.3848437
152	390.2583469
153	390.1032884
154	389.7475726
155	389.5493658
156	389.4166847
157	389.2947526
158	388.980941
159	388.882867
160	388.7550805
161	388.6229586
162	388.5447283
163	388.4371825
164	388.2020556
165	388.0264164
166	387.7373882
167	387.6583048
168	387.5029403
169	387.3947275
170	387.2607774
171	387.183443
172	387.0303576
173	386.8828642
174	386.5829034
175	386.4268946
176	386.3473038
177	386.2111853
178	386.0820772
179	385.9622848
180	385.7518828
181	385.4699842
182	385.3374455
183	385.2023339
184	385.052381
185	384.962686
186	384.8426333
187	384.6486926
188	384.5119857
189	384.3901158
190	384.0904614
191	383.9836668
192	383.8823207
193	383.7721509
194	383.7060721
195	383.6411893
196	383.4290582
197	383.3472595
198	383.2028266
199	383.1177453
200	382.9771219
201	382.89423
202	382.7627018
203	382.4891595
204	382.3815341
205	382.2672023
206	382.1523809
207	382.0592033
208	381.8840037
209	381.7819675
210	381.7179433
211	381.4514865
212	381.3345926
213	381.2221126
214	381.1580691
215	381.0964081
216	380.9876171
217	380.9028887
218	380.8020452
219	380.5806131
220	380.5109918
221	380.321207
222	380.2061236
223	379.9917427
224	379.9423036
225	379.8644696
226	379.5871855
227	379.5113033
228	379.414138
229	379.2970287
230	379.2078789
231	379.0687435
232	378.9820525
233	378.8952103
234	378.7716202
235	378.517301
236	378.3925663
237	378.2763485
238	378.1941147
239	378.0908808
240	378.0045962
241	377.8248698
242	377.5592858
243	377.452519
244	377.3637926
245	377.2374618
246	377.1376965
247	377.0137953
248	376.9078834
249	376.7217358
250	376.6532936
251	376.5311916
252	376.4185226
253	376.3014331
254	376.2079325
255	375.8036177
256	375.630926
257	375.5440279
258	375.4473377
259	375.1919666
260	375.1252357
261	374.9942017
262	374.8951517
263	374.8014807
264	374.6791839
265	374.6547078
266	374.465137
267	374.381751
268	374.0187773
269	373.8231185
270	373.712501
271	373.5703466
272	373.4905849
273	373.4306046
274	373.2293395
275	373.0839545
276	372.565902
277	372.4780989
278	372.3872151
279	372.2844886
280	372.1876069
281	371.9476303
282	371.8128108
283	371.5757899
284	371.396437
285	371.2148236
286	371.0494475
287	370.9600599
288	370.8282075
289	370.6985456
290	370.5861352
291	370.4959677
292	370.3878912
293	370.3050902
294	370.2278782
295	370.0649396
296	369.8742743
297	369.7459257
298	369.6468774
299	369.5540316
300	369.4193343
301	369.2947108
302	369.0273126
303	368.9355113
304	368.5002756
305	368.3736625
306	368.1340521
307	367.9517707
308	367.8403486
309	367.4427631
310	367.3172093
311	367.2304894
312	367.1465611
313	367.0479489
314	366.9543611
315	366.8847324
316	366.7967553
317	366.4065998
318	366.2816179
319	366.158488
320	366.0918926
321	365.9785605
322	365.8185053
323	365.6560042
324	365.564474
325	365.4932627
326	365.3952162
327	365.2938983
328	365.1711947
329	365.0167411
330	364.9446158
331	364.8478381
332	364.7589321
333	364.6037
334	364.5304732
335	364.4105822
336	364.2898737
337	364.2093859
338	364.0916898
339	363.9726675
340	363.8790438
341	363.7068188
342	363.6257964
343	363.1896237
344	362.9582182
345	362.9029109
346	362.7851706
347	362.6929093
348	362.6036894
349	362.537167
350	362.4480559
351	362.0178742
352	361.9306725
353	361.8537795
354	361.7658441
355	361.6936277
356	361.6023642
357	361.4860468
358	361.3980336
359	361.3225376
360	361.23779
361	361.1398916
362	361.0514984
363	360.9807781
364	360.8682674
365	360.7835517
366	360.7013211
367	360.5877949
368	360.1596754
369	360.0802468
370	359.6571322
371	359.2387699
372	359.1614828
373	359.0156723
374	358.9247391
375	358.8450148
376	358.7618184
377	358.615943
378	358.4254564
379	358.3426015
380	358.2037144
381	358.0629357
382	357.9248198
383	357.8123024
384	357.7326388
385	357.5957822
386	357.5168147
387	357.3871416
388	357.3123056
389	357.2351264
390	357.0631469
391	356.9324769
392	356.5158896
393	356.2895484
394	355.8785774
395	355.7374481
396	355.4231448
397	355.0999849
398	354.9740867
399	354.5739499
400	354.0766761
401	353.9544436
402	353.5578489
403	353.4860232
404	353.3880682
405	353.2443794
406	352.8517285
407	352.7302924
408	352.2486364
409	351.7675715
410	351.3777596
411	351.3054465
412	350.8659719
413	350.5594699
414	350.4857898
415	350.1027956
416	349.9634663
417	349.5845474
418	349.2095198
419	349.1336738
420	348.7624513
421	348.6879838
422	348.320577
423	348.2150143
424	348.0964086
425	347.7324925
426	347.5927365
427	347.5116923
428	347.4202587
429	347.0598568
430	346.6667574
431	346.3095554
432	346.2296733
433	346.1563263
434	345.8023864
435	345.7147727
436	345.6147534
437	345.5397581
438	345.4454499
439	344.9933456
440	344.8760942
441	344.8020459
442	344.6868302
443	344.5554227
444	344.4829598
445	344.4072955
446	343.9656348
447	343.8688752
448	343.8004533
449	343.7205712
450	343.6336831
451	343.3573032
452	343.0087479
453	342.6639274
454	342.3227637
455	342.2462043
456	341.9085777
457	341.4791252
458	341.1446585
459	341.0700867
460	340.7390399
461	340.4115391
462	340.0875016
463	340.015081
464	339.9182769
465	339.8119565
466	339.7267413
467	339.6310419
468	339.547223
469	339.2259958
470	339.1530301
471	339.0582279
472	338.976013
473	338.6577108
474	338.5638286
475	338.1399281
476	338.04695
477	337.9676755
478	337.8756861
479	337.5602276
480	337.4894338
481	337.3983142
482	337.0860261
483	336.9981779
484	336.927583
485	336.8430383
486	336.7746307
487	336.4653018
488	336.159238
489	336.0586616
490	335.9671447
491	335.664082
492	335.5618479
493	335.2615475
494	334.9645264
495	334.8990451
496	334.8231775
497	334.5293268
498	334.2383655
499	334.1382226
500	333.85046
501	333.565216
502	333.3466919
503	333.0673319
504	333.0029419
505	332.9116005
506	332.4960471
507	332.4238981
508	332.1469086
509	332.0633361
510	331.991031
511	331.9238768
512	331.8475175
513	331.5731529
514	331.3016695
515	331.2108388
516	331.1345583
517	330.8656093
518	330.713301
519	330.6432468
520	330.5656987
521	330.3004939
522	330.2357962
523	330.1456619
524	329.8831061
525	329.7938763
526	329.6633567
527	329.5422888
528	329.2824773
529	329.0253477
530	328.6168024
531	328.3621204
532	328.1098705
533	327.8605011
534	327.7725682
535	327.624729
536	327.553426
537	327.3078296
538	327.238338
539	326.9952457
540	326.7543869
541	326.6671119
542	326.2663288
543	326.0755333
544	325.9489913
545	325.558003
546	325.4607411
547	325.2217759
548	325.156242
549	325.0694645
550	324.7706784
551	324.6956347
552	324.4588024
553	324.2244456
554	324.1316525
555	324.0660217
556	323.8340328
557	323.7564757
558	323.6946867
559	323.5766936
560	323.5134422
561	323.2836406
562	323.2090547
563	323.1494385
564	323.0748545
565	322.847194
566	322.7615459
567	322.5892805
568	322.5045117
569	322.3780893
570	322.2086769
571	321.830087
572	321.7675191
573	321.7066039
574	321.6347196
575	321.5214399
576	321.1522924
577	321.0833904
578	320.8609529
579	320.7951095
580	320.7232428
581	320.6280064
582	320.6057454
583	320.3857489
584	320.3036451
585	320.0859047
586	319.9978669
587	319.7823644
588	319.719878
589	319.6404937
590	319.5700756
591	319.5089536
