iter	Passed	Remaining
0	9	19575
1	10	10569
2	11	7781
3	12	6475
4	14	5744
5	15	5110
6	16	4584
7	16	4218
8	17	3925
9	26	5218
10	28	5171
11	29	4904
12	30	4673
13	31	4510
14	32	4314
15	36	4549
16	40	4688
17	41	4599
18	45	4695
19	48	4798
20	50	4763
21	53	4779
22	54	4668
23	55	4538
24	55	4407
25	56	4291
26	57	4187
27	58	4137
28	65	4461
29	67	4402
30	68	4330
31	69	4261
32	72	4339
33	74	4285
34	76	4278
35	83	4546
36	86	4598
37	87	4533
38	89	4481
39	90	4420
40	91	4358
41	92	4303
42	98	4463
43	99	4417
44	100	4359
45	102	4368
46	103	4321
47	104	4266
48	106	4222
49	107	4188
50	110	4225
51	112	4225
52	116	4267
53	121	4376
54	131	4657
55	133	4626
56	134	4585
57	135	4552
58	144	4743
59	146	4722
60	147	4692
61	149	4671
62	151	4649
63	152	4621
64	154	4596
65	156	4579
66	158	4566
67	163	4653
68	167	4690
69	170	4705
70	173	4709
71	174	4683
72	176	4655
73	178	4641
74	185	4765
75	187	4751
76	189	4723
77	190	4693
78	192	4670
79	193	4654
80	211	5022
81	215	5033
82	217	5028
83	227	5178
84	227	5134
85	230	5120
86	230	5078
87	232	5041
88	232	5000
89	233	4962
90	234	4922
91	235	4884
92	236	4847
93	237	4811
94	238	4786
95	241	4784
96	245	4807
97	248	4825
98	266	5108
99	272	5170
100	273	5143
101	274	5110
102	275	5078
103	276	5044
104	279	5049
105	287	5138
106	292	5167
107	300	5271
108	306	5323
109	308	5296
110	311	5303
111	314	5301
112	320	5356
113	321	5324
114	323	5302
115	324	5268
116	325	5234
117	326	5204
118	327	5169
119	327	5134
120	328	5104
121	330	5084
122	331	5054
123	337	5105
124	338	5078
125	339	5049
126	341	5039
127	343	5016
128	344	4990
129	345	4970
130	350	4995
131	352	4987
132	358	5026
133	362	5049
134	367	5081
135	375	5145
136	378	5144
137	380	5136
138	386	5177
139	392	5212
140	395	5211
141	396	5189
142	398	5177
143	400	5161
144	401	5139
145	404	5132
146	406	5126
147	411	5152
148	414	5154
149	419	5168
150	421	5156
151	422	5141
152	424	5125
153	426	5106
154	427	5087
155	429	5074
156	431	5067
157	433	5052
158	434	5034
159	474	5462
160	476	5439
161	484	5498
162	487	5491
163	488	5471
164	489	5448
165	492	5437
166	494	5431
167	498	5440
168	502	5447
169	505	5444
170	508	5436
171	519	5519
172	525	5549
173	527	5539
174	531	5542
175	533	5531
176	535	5516
177	536	5496
178	539	5488
179	543	5498
180	555	5583
181	560	5595
182	563	5593
183	565	5580
184	569	5583
185	570	5566
186	573	5557
187	575	5548
188	576	5527
189	578	5510
190	579	5489
191	581	5479
192	594	5563
193	603	5615
194	605	5605
195	607	5589
196	608	5569
197	610	5557
198	614	5557
199	621	5596
200	624	5585
201	633	5640
202	648	5742
203	650	5729
204	652	5712
205	654	5695
206	656	5688
207	658	5674
208	660	5657
209	661	5640
210	663	5623
211	671	5660
212	674	5661
213	679	5667
214	683	5675
215	685	5665
216	689	5665
217	690	5647
218	692	5631
219	693	5614
220	697	5614
221	699	5602
222	700	5582
223	701	5562
224	702	5540
225	703	5519
226	703	5498
227	706	5492
228	708	5477
229	726	5591
230	730	5594
231	732	5581
232	733	5563
233	735	5549
234	736	5531
235	737	5512
236	745	5546
237	747	5535
238	749	5525
239	751	5508
240	752	5491
241	755	5486
242	756	5471
243	758	5459
244	759	5441
245	760	5422
246	761	5407
247	763	5391
248	768	5401
249	772	5410
250	775	5406
251	785	5449
252	787	5437
253	788	5420
254	789	5402
255	797	5435
256	800	5427
257	801	5413
258	803	5400
259	804	5383
260	805	5366
261	816	5417
262	820	5415
263	825	5430
264	827	5417
265	828	5402
266	829	5387
267	831	5371
268	832	5354
269	832	5336
270	834	5324
271	836	5315
272	844	5339
273	844	5322
274	846	5311
275	852	5326
276	859	5344
277	882	5465
278	883	5451
279	885	5436
280	887	5430
281	889	5419
282	890	5405
283	902	5453
284	907	5462
285	911	5462
286	916	5467
287	918	5461
288	920	5450
289	925	5458
290	926	5442
291	928	5429
292	929	5416
293	931	5404
294	932	5390
295	933	5376
296	936	5372
297	949	5421
298	952	5420
299	955	5417
300	957	5403
301	958	5390
302	960	5379
303	961	5364
304	962	5349
305	967	5355
306	968	5341
307	969	5326
308	970	5311
309	971	5296
310	973	5284
311	974	5270
312	975	5255
313	975	5240
314	976	5224
315	977	5209
316	978	5194
317	980	5184
318	984	5186
319	987	5184
320	990	5181
321	993	5177
322	995	5167
323	998	5162
324	1001	5161
325	1004	5155
326	1006	5150
327	1008	5139
328	1009	5129
329	1012	5124
330	1014	5113
331	1015	5102
332	1017	5091
333	1027	5124
334	1029	5114
335	1030	5104
336	1032	5094
337	1033	5083
338	1035	5074
339	1037	5066
340	1039	5056
341	1040	5045
342	1042	5034
343	1043	5023
344	1045	5013
345	1046	5002
346	1048	4995
347	1050	4988
348	1053	4983
349	1054	4972
350	1056	4962
351	1061	4968
352	1063	4961
353	1065	4954
354	1068	4949
355	1072	4953
356	1076	4952
357	1080	4955
358	1084	4956
359	1085	4947
360	1087	4937
361	1089	4928
362	1090	4918
363	1122	5044
364	1128	5055
365	1132	5057
366	1134	5047
367	1136	5037
368	1137	5027
369	1139	5018
370	1141	5011
371	1142	5000
372	1143	4989
373	1145	4978
374	1147	4970
375	1148	4960
376	1149	4949
377	1150	4938
378	1152	4927
379	1155	4924
