"relationship_id","origin_id","following_id"
0,827216467,217436563
1,827216467,215823703
2,827216467,58183547
3,827216467,11189402
4,827216467,705552870
5,827216467,340607650
6,827216467,1606817833
7,827216467,44011446
8,827216467,32215318
9,340607650,2667135578
10,340607650,2706808941
11,340607650,2548312316
12,340607650,346542569
13,1606817833,1234216847173652480
14,1606817833,178197165
15,1606817833,882291261629235206
16,1606817833,4647978496
17,1606817833,364533010
18,1606817833,584680262
19,1606817833,108570679
20,1606817833,22912729
21,1606817833,185046901
22,1606817833,272414557
23,1606817833,65186063
24,1606817833,1295307798
25,32215318,224844991
26,32215318,329819768
27,32215318,30522346
28,32215318,301598901
29,32215318,326823025
30,32215318,573920124
31,32215318,1088279772
32,32215318,239168630
33,32215318,984953190
34,32215318,389840050
35,32215318,518605327
36,32215318,18960717
37,32215318,757994137
38,32215318,174917859
39,32215318,431304426
40,32215318,62614298
41,32215318,183571775
42,32215318,492657311
43,32215318,36153207
44,32215318,73273120
45,32215318,62894774
46,32215318,63919217
47,32215318,62928029
48,32215318,49671107
